time,longitude,latitude,elevation,temperatures,slp,vapor_pressure,wet_bulb_temperature,specific_humidity,file_id,region,water,GHI,wind_speed,NSRDB_latitude,NSRDB_longitude,distance_h_NSRDB
2006-01-01,-107.721,32.259,1311.6,11.095651709515115,1010.3913043478261,3.907227557638417,3.914355402407439,2.8454831994098164,6994.0,2.0,0.0,164.125,56.208333333333336,32.25,-107.74,2.048
2006-01-02,-107.721,32.259,1311.6,10.1875,1015.8666664759318,2.9339466094970703,2.4656219482421875,2.124234199523926,6994.0,2.0,0.0,156.875,24.541666666666668,32.25,-107.74,2.048
2006-01-03,-107.721,32.259,1311.6,11.162500381469727,1017.2166662216187,3.7314345041910806,3.6922229131062827,2.6984097162882485,6994.0,2.0,0.0,123.08333333333333,27.791666666666668,32.25,-107.74,2.048
2006-01-04,-107.721,32.259,1311.6,9.620833396911621,1021.9541664123535,2.8067553838094077,2.031355539957682,2.0217342376708984,6994.0,2.0,0.0,167.66666666666666,18.083333333333332,32.25,-107.74,2.048
2006-01-05,-107.721,32.259,1311.6,9.616666793823242,1026.8041671117146,2.4720096588134766,1.9312340418497722,1.770455042521159,6994.0,2.0,0.0,166.91666666666666,40.583333333333336,32.25,-107.74,2.048
2006-01-06,-107.721,32.259,1311.6,5.525000254313151,1029.933333714803,2.4632765452067056,-0.6016416549682617,1.7640835444132488,6994.0,2.0,0.0,168.58333333333334,16.208333333333332,32.25,-107.74,2.048
2006-01-07,-107.721,32.259,1311.6,5.216666539510091,1021.5916668574015,1.8538230260213215,-1.322384198506673,1.3380715052286785,6994.0,2.0,0.0,169.70833333333334,17.75,32.25,-107.74,2.048
2006-01-08,-107.721,32.259,1311.6,11.595834096272787,1013.4125000635782,2.311459223429362,2.797978719075521,1.6767810185750325,6994.0,2.0,0.0,172.29166666666666,29.041666666666668,32.25,-107.74,2.048
2006-01-09,-107.721,32.259,1311.6,6.987499872843425,1018.4166666666666,1.5700543721516926,-0.35869312286376953,1.1353314717610676,6994.0,2.0,0.0,172.41666666666666,35.416666666666664,32.25,-107.74,2.048
2006-01-10,-107.721,32.259,1311.6,1.3208338419596355,1026.5624996821086,0.8444674809773763,-4.160665194193522,0.6077130635579427,6994.0,2.0,0.0,173.95833333333334,17.125,32.25,-107.74,2.048
2006-01-11,-107.721,32.259,1311.6,2.68333371480306,1020.4500007629395,1.0783923467000325,-3.2540102005004883,0.7798706690470377,6994.0,2.0,0.0,154.04166666666666,17.291666666666668,32.25,-107.74,2.048
2006-01-12,-107.721,32.259,1311.6,6.608333905537923,1013.8458340962728,1.4863065083821614,-0.7031160990397135,1.0797147750854492,6994.0,2.0,0.0,168.125,31.583333333333332,32.25,-107.74,2.048
2006-01-13,-107.721,32.259,1311.6,8.100000063578287,1020.2958329518636,1.8395404815673828,0.5212243398030599,1.3277956644694011,6994.0,2.0,0.0,173.91666666666666,33.208333333333336,32.25,-107.74,2.048
2006-01-14,-107.721,32.259,1311.6,7.49583371480306,1020.2541669209799,2.106952667236328,0.48760445912679035,1.5215056737263997,6994.0,2.0,0.0,113.16666666666667,19.875,32.25,-107.74,2.048
2006-01-15,-107.721,32.259,1311.6,8.25,1012.7104166348776,2.3432737986246743,0.9376303354899088,1.7037316958109539,6994.0,2.0,0.0,166.54166666666666,42.5,32.25,-107.74,2.048
2006-01-16,-107.721,32.259,1311.6,6.016666730244954,1009.5499998728434,3.137603759765625,0.33782800038655597,2.292965888977051,6994.0,2.0,0.0,128.16666666666666,40.708333333333336,32.25,-107.74,2.048
2006-01-17,-107.721,32.259,1311.6,2.083332379659017,1022.4499994913737,1.8313080469767253,-3.2449401219685874,1.324393590291341,6994.0,2.0,0.0,179.20833333333334,19.958333333333332,32.25,-107.74,2.048
2006-01-18,-107.721,32.259,1311.6,3.7250000635782876,1020.6874993642172,1.02863343556722,-2.6890811920166016,0.7435617446899414,6994.0,2.0,0.0,163.29166666666666,24.708333333333332,32.25,-107.74,2.048
2006-01-19,-107.721,32.259,1311.6,7.658332506815593,1012.1999999682108,1.7080748875935872,0.0365754763285319,1.2427115440368652,6994.0,2.0,0.0,151.83333333333334,43.916666666666664,32.25,-107.74,2.048
2006-01-20,-107.721,32.259,1311.6,6.154166221618652,1014.4500001271566,2.4981845219930015,-0.15265210469563803,1.817405064900716,6994.0,2.0,0.0,184.29166666666666,33.166666666666664,32.25,-107.74,2.048
2006-01-21,-107.721,32.259,1311.6,2.5749991734822593,1020.0250002543131,1.6978966395060222,-2.7959197362264,1.2291930516560872,6994.0,2.0,0.0,161.75,23.625,32.25,-107.74,2.048
2006-01-22,-107.721,32.259,1311.6,2.566666603088379,1018.5583330790201,2.183134078979492,-2.663219134012858,1.5825990041097004,6994.0,2.0,0.0,182.58333333333334,20.083333333333332,32.25,-107.74,2.048
2006-01-23,-107.721,32.259,1311.6,4.295834223429362,1020.6499999364218,2.2319564819335938,-1.411897341410319,1.6128800710042317,6994.0,2.0,0.0,166.08333333333334,27.833333333333332,32.25,-107.74,2.048
2006-01-24,-107.721,32.259,1311.6,7.12083371480306,1022.6333332061768,2.1369927724202475,0.21708456675211588,1.5401121775309246,6994.0,2.0,0.0,139.41666666666666,33.666666666666664,32.25,-107.74,2.048
2006-01-25,-107.721,32.259,1311.6,9.095832824707031,1023.1958328882853,5.922149022420247,4.470789909362793,4.270373662312825,6994.0,2.0,0.0,115.66666666666667,42.666666666666664,32.25,-107.74,2.048
