time,longitude,latitude,elevation,temperatures,slp,vapor_pressure,wet_bulb_temperature,specific_humidity,file_id,region,water,GHI,wind_speed,NSRDB_latitude,NSRDB_longitude,distance_h_NSRDB
2006-01-01,-90.678,43.156,203.1,0.6913050775942595,1009.6043478924295,4.96704565960428,-1.2427275284476902,3.1504148400348164,7870.0,3.0,1.0,56.541666666666664,29.583333333333332,43.17,-90.66,2.134
2006-01-02,-90.678,43.156,203.1,3.450002352396647,1005.9124999046326,6.758172353108724,2.1396382649739585,4.303774515787761,7870.0,3.0,1.0,24.666666666666668,59.125,43.17,-90.66,2.134
2006-01-03,-90.678,43.156,203.1,3.550002098083496,1012.9062496821085,7.028140385945638,2.458465894063314,4.444985866546631,7870.0,3.0,1.0,41.375,21.875,43.17,-90.66,2.134
2006-01-04,-90.678,43.156,203.1,3.429168701171875,1009.1249993642172,6.913469950358073,2.2721853256225586,4.389234224955241,7870.0,3.0,1.0,19.208333333333332,33.708333333333336,43.17,-90.66,2.134
2006-01-05,-90.678,43.156,203.1,0.9749981562296549,1018.7166665395101,4.690722783406575,-1.4000864028930664,2.9487584431966147,7870.0,3.0,1.0,12.75,44.625,43.17,-90.66,2.134
2006-01-06,-90.678,43.156,203.1,-1.195831298828125,1021.8208335240682,3.5377604166666665,-3.8351176579793296,2.2164176305135093,7870.0,3.0,1.0,36.333333333333336,31.666666666666668,43.17,-90.66,2.134
2006-01-07,-90.678,43.156,203.1,0.012500445048014322,1008.3583334287008,4.4851992925008135,-2.090539296468099,2.847756544748942,7870.0,3.0,1.0,83.70833333333333,36.125,43.17,-90.66,2.134
2006-01-08,-90.678,43.156,203.1,0.9875008265177408,1005.1458326975504,4.730478922526042,-1.3158013025919597,3.013606071472168,7870.0,3.0,1.0,58.458333333333336,46.416666666666664,43.17,-90.66,2.134
2006-01-09,-90.678,43.156,203.1,1.5458323160807292,1018.5208330154419,4.664040247599284,-1.0303255716959636,2.9355761210123696,7870.0,3.0,1.0,54.791666666666664,36.791666666666664,43.17,-90.66,2.134
2006-01-10,-90.678,43.156,203.1,-4.720832506815593,1027.2916663487752,3.0150680541992188,-6.775613784790039,1.8800293604532878,7870.0,3.0,1.0,97.75,17.291666666666668,43.17,-90.66,2.134
2006-01-11,-90.678,43.156,203.1,1.3041677474975586,1011.0062499046326,4.9326982498168945,-0.9176866213480631,3.125305493672689,7870.0,3.0,1.0,90.04166666666667,23.833333333333332,43.17,-90.66,2.134
2006-01-12,-90.678,43.156,203.1,0.9249998728434244,1004.0583330790201,4.963000933329265,-1.1017236709594727,3.165472984313965,7870.0,3.0,1.0,94.16666666666667,32.041666666666664,43.17,-90.66,2.134
2006-01-13,-90.678,43.156,203.1,1.5875005722045898,1006.3041666348776,5.157290140787761,-0.4678136507670085,3.2825845082600913,7870.0,3.0,1.0,49.208333333333336,59.625,43.17,-90.66,2.134
2006-01-14,-90.678,43.156,203.1,-0.2416661580403646,1019.833332379659,3.260864575703939,-3.491988182067871,2.0460077921549478,7870.0,3.0,1.0,77.45833333333333,35.041666666666664,43.17,-90.66,2.134
2006-01-15,-90.678,43.156,203.1,1.9708325068155925,1012.0541664759318,4.121993064880371,-1.3477160135904949,2.608242670694987,7870.0,3.0,1.0,84.95833333333333,51.916666666666664,43.17,-90.66,2.134
2006-01-16,-90.678,43.156,203.1,1.5083341598510742,1001.2124996185303,4.93230406443278,-0.8146629333496094,3.153942108154297,7870.0,3.0,1.0,97.79166666666667,33.5,43.17,-90.66,2.134
2006-01-17,-90.678,43.156,203.1,-0.5041669209798177,1003.7541666030884,4.11060365041097,-2.8549248377482095,2.6219797134399414,7870.0,3.0,1.0,32.833333333333336,57.625,43.17,-90.66,2.134
2006-01-18,-90.678,43.156,203.1,-4.749999364217122,1007.9208329518636,2.458547910054525,-7.284340222676595,1.560707728068034,7870.0,3.0,1.0,48.791666666666664,44.291666666666664,43.17,-90.66,2.134
2006-01-19,-90.678,43.156,203.1,0.7708346048990885,1008.6875,4.172381083170573,-2.0531562169392905,2.6487658818562827,7870.0,3.0,1.0,71.0,27.208333333333332,43.17,-90.66,2.134
2006-01-20,-90.678,43.156,203.1,-0.09583346048990886,1015.9883340199789,4.59567445119222,-2.0493019739786784,2.8962515195210776,7870.0,3.0,1.0,23.083333333333332,32.541666666666664,43.17,-90.66,2.134
2006-01-21,-90.678,43.156,203.1,-5.579165458679199,1024.867916584015,3.1933082580566405,-7.086361058553059,1.996193250020345,7870.0,3.0,1.0,67.0,29.333333333333332,43.17,-90.66,2.134
2006-01-22,-90.678,43.156,203.1,-1.6041641235351562,1029.9104164441426,4.269021987915039,-3.2389259338378906,2.653818925221761,7870.0,3.0,1.0,51.5,39.833333333333336,43.17,-90.66,2.134
2006-01-23,-90.678,43.156,203.1,-4.712499618530273,1024.304165840149,3.005359331766764,-6.6586103439331055,1.8775399525960286,7870.0,3.0,1.0,121.0,35.625,43.17,-90.66,2.134
2006-01-24,-90.678,43.156,203.1,2.2833340962727866,1007.7249994277954,4.873400370279948,-0.43133989969889325,3.0968729654947915,7870.0,3.0,1.0,44.458333333333336,83.375,43.17,-90.66,2.134
2006-01-25,-90.678,43.156,203.1,0.6166674296061198,1024.712499300639,3.371391932169596,-2.855665842692057,2.106400807698568,7870.0,3.0,1.0,124.29166666666667,58.666666666666664,43.17,-90.66,2.134
2006-01-26,-90.678,43.156,203.1,-1.6458336512247722,1030.1208333969116,3.3834940592447915,-4.358146031697591,2.1026620864868164,7870.0,3.0,1.0,118.70833333333333,32.125,43.17,-90.66,2.134
2006-01-27,-90.678,43.156,203.1,7.729166666666667,1022.2458333969116,4.764184951782227,2.6997693379720054,2.981989860534668,7870.0,3.0,1.0,99.0,65.20833333333333,43.17,-90.66,2.134
2006-01-28,-90.678,43.156,203.1,1.3208332061767578,1017.4437494277954,5.7596157391866045,-0.09202241897583008,3.629111131032308,7870.0,3.0,1.0,17.541666666666668,25.583333333333332,43.17,-90.66,2.134
2006-01-29,-90.678,43.156,203.1,4.425000826517741,999.0208342870077,7.604959487915039,3.4706093470255532,4.877254486083984,7870.0,3.0,1.0,13.958333333333334,29.583333333333332,43.17,-90.66,2.134
2006-01-30,-90.678,43.156,203.1,1.0833323796590169,1005.8875007629395,5.201742808024089,-0.7762484550476074,3.3124958674112954,7870.0,3.0,1.0,48.291666666666664,48.458333333333336,43.17,-90.66,2.134
2006-01-31,-90.678,43.156,203.1,0.01666736602783203,1013.6354168256124,4.636883735656738,-1.9726967811584473,2.928918202718099,7870.0,3.0,1.0,69.91666666666667,25.541666666666668,43.17,-90.66,2.134
2006-02-01,-90.678,43.156,203.1,3.575000762939453,1005.3354166348776,5.707904974619548,1.0904995600382488,3.635899225870768,7870.0,3.0,1.0,60.125,53.5,43.17,-90.66,2.134
2006-02-02,-90.678,43.156,203.1,1.416666030883789,1005.5583333969116,5.05499267578125,-0.8033812840779623,3.2205187479654946,7870.0,3.0,1.0,113.5,24.75,43.17,-90.66,2.134
2006-02-03,-90.678,43.156,203.1,2.2083330154418945,1003.0708335240682,5.724258581797282,0.39689381917317706,3.656057834625244,7870.0,3.0,1.0,46.0,36.958333333333336,43.17,-90.66,2.134
2006-02-04,-90.678,43.156,203.1,-4.616666158040364,1014.095832824707,2.741771697998047,-6.857061545054118,1.730978012084961,7870.0,3.0,1.0,61.458333333333336,69.41666666666667,43.17,-90.66,2.134
2006-02-05,-90.678,43.156,203.1,-4.795832633972168,1013.3958333333334,2.3754453659057617,-7.39117972056071,1.5001258850097656,7870.0,3.0,1.0,147.75,56.208333333333336,43.17,-90.66,2.134
2006-02-06,-90.678,43.156,203.1,-4.503360672901742,1019.4874259599087,1.8105968739815521,-7.776553941809612,1.1371427865482244,7870.0,3.0,1.0,148.875,50.208333333333336,43.17,-90.66,2.134
2006-02-07,-90.678,43.156,203.1,0.710329323760734,1022.8567552308779,1.4158750998007283,-6.480712890625,0.8851295677391259,7870.0,3.0,1.0,53.916666666666664,25.708333333333332,43.17,-90.66,2.134
2006-02-08,-90.678,43.156,203.1,-4.133332888285319,1025.8266883626713,1.8694659825917836,-7.888384819030762,1.1659883550695471,7870.0,3.0,1.0,119.75,32.958333333333336,43.17,-90.66,2.134
2006-02-09,-90.678,43.156,203.1,-7.53749942779541,1026.4749994277954,1.8891881306966145,-9.834139506022135,1.1783606211344402,7870.0,3.0,1.0,82.91666666666667,24.083333333333332,43.17,-90.66,2.134
2006-02-10,-90.678,43.156,203.1,-0.6874996821085612,1015.385416507721,3.8772125244140625,-3.1357504526774087,2.444413185119629,7870.0,3.0,1.0,75.5,34.875,43.17,-90.66,2.134
2006-02-11,-90.678,43.156,203.1,-0.5624990463256836,1020.6645832061768,3.3367764155069985,-3.6036683718363443,2.0922791163126626,7870.0,3.0,1.0,107.625,27.833333333333332,43.17,-90.66,2.134
2006-02-12,-90.678,43.156,203.1,-3.5791664123535156,1019.5166664123535,2.715891202290853,-6.177358627319336,1.7048689524332683,7870.0,3.0,1.0,79.58333333333333,40.583333333333336,43.17,-90.66,2.134
