time,longitude,latitude,elevation,temperatures,slp,vapor_pressure,wet_bulb_temperature,specific_humidity,file_id,region,water,GHI,wind_speed,NSRDB_latitude,NSRDB_longitude,distance_h_NSRDB
2006-01-01,-75.362,38.69,15.1,5.708696779997452,1015.6456522734269,6.648061835247537,3.329719709313434,4.091856583305027,7286.0,6.0,1.0,95.16666666666667,17.75,38.69,-75.38,1.562
2006-01-02,-75.362,38.69,15.1,3.7416674296061196,1021.3000005086263,6.7433881759643555,2.047915776570638,4.128560702006022,7286.0,6.0,1.0,24.75,24.833333333333332,38.69,-75.38,1.562
2006-01-03,-75.362,38.69,15.1,8.229167620340982,1007.1645841598511,10.340764999389648,7.544537385304769,6.425689697265625,7286.0,6.0,1.0,30.875,36.5,38.69,-75.38,1.562
2006-01-04,-75.362,38.69,15.1,4.100001335144043,1015.7479166984558,6.756705284118652,2.4595664342244468,4.15654182434082,7286.0,6.0,1.0,61.916666666666664,26.75,38.69,-75.38,1.562
2006-01-05,-75.362,38.69,15.1,7.691666920979817,1007.6208329200745,7.774090766906738,5.2394148508707685,4.822691122690837,7286.0,6.0,1.0,105.25,27.166666666666668,38.69,-75.38,1.562
2006-01-06,-75.362,38.69,15.1,5.91249942779541,1006.6041669845581,5.704855600992839,2.452024459838867,3.5399278004964194,7286.0,6.0,1.0,39.0,31.5,38.69,-75.38,1.562
2006-01-07,-75.362,38.69,15.1,0.3708337148030599,1014.2916666666666,3.0968701044718423,-3.2412538528442383,1.905710220336914,7286.0,6.0,1.0,113.29166666666667,26.75,38.69,-75.38,1.562
2006-01-08,-75.362,38.69,15.1,3.6374994913736978,1017.5625,4.744945208231608,0.2171611785888672,2.9110180536905923,7286.0,6.0,1.0,93.66666666666667,23.958333333333332,38.69,-75.38,1.562
2006-01-09,-75.362,38.69,15.1,10.833333651224772,1016.8833328882853,7.650135358174642,6.551180521647136,4.701974550882976,7286.0,6.0,1.0,74.20833333333333,48.291666666666664,38.69,-75.38,1.562
2006-01-10,-75.362,38.69,15.1,8.608333587646484,1029.0083322525024,6.884584108988444,4.831334114074707,4.184061368306478,7286.0,6.0,1.0,108.95833333333333,21.75,38.69,-75.38,1.562
2006-01-11,-75.362,38.69,15.1,8.16249910990397,1024.8729168574016,9.609407901763916,6.620075066884358,5.874811013539632,7286.0,6.0,1.0,45.916666666666664,24.541666666666668,38.69,-75.38,1.562
2006-01-12,-75.362,38.69,15.1,12.695833206176758,1016.3312498728434,11.199895858764648,10.103253682454428,6.899300257364909,7286.0,6.0,1.0,123.41666666666667,24.833333333333332,38.69,-75.38,1.562
2006-01-13,-75.362,38.69,15.1,11.295832633972168,1014.9458336830139,11.250871181488037,9.405966599782309,6.94290558497111,7286.0,6.0,1.0,86.58333333333333,34.041666666666664,38.69,-75.38,1.562
2006-01-14,-75.362,38.69,15.1,13.96250025431315,994.2979175249735,13.819399356842041,12.299434185028076,8.702364444732666,7286.0,6.0,1.0,40.125,64.58333333333333,38.69,-75.38,1.562
2006-01-15,-75.362,38.69,15.1,1.5958337783813477,1000.1791667938232,2.8755105336507163,-2.409864584604899,1.7998337745666504,7286.0,6.0,1.0,138.29166666666666,94.54166666666667,38.69,-75.38,1.562
2006-01-16,-75.362,38.69,15.1,0.7666660944620768,1013.795833269755,1.985690752665202,-3.708950678507487,1.2218109766642253,7286.0,6.0,1.0,95.83333333333333,26.041666666666668,38.69,-75.38,1.562
2006-01-17,-75.362,38.69,15.1,2.750000317891439,1017.6083329518636,5.004859606424968,-0.21843751271565756,3.0717506408691406,7286.0,6.0,1.0,45.791666666666664,23.875,38.69,-75.38,1.562
2006-01-18,-75.362,38.69,15.1,13.033333460489908,1006.7624998092651,12.145781517028809,10.58614412943522,7.562221209208171,7286.0,6.0,1.0,34.333333333333336,82.58333333333333,38.69,-75.38,1.562
2006-01-19,-75.362,38.69,15.1,4.8958330154418945,1024.5749998092651,4.2029603322347,0.5053377151489258,2.55989933013916,7286.0,6.0,1.0,105.625,26.291666666666668,38.69,-75.38,1.562
2006-01-20,-75.362,38.69,15.1,9.033331871032715,1024.2125002543132,6.25310738881429,4.570088068644206,3.8141934076944985,7286.0,6.0,1.0,112.70833333333333,40.833333333333336,38.69,-75.38,1.562
2006-01-21,-75.362,38.69,15.1,11.745833079020182,1019.9999993642172,9.49181048075358,8.26669692993164,5.823417663574219,7286.0,6.0,1.0,74.0,51.666666666666664,38.69,-75.38,1.562
2006-01-22,-75.362,38.69,15.1,5.483333269755046,1034.0541671117146,4.688140869140625,1.2719214757283528,2.831919034322103,7286.0,6.0,1.0,128.04166666666666,36.0,38.69,-75.38,1.562
2006-01-23,-75.362,38.69,15.1,6.404165585835774,1021.643750667572,8.417376041412354,5.104145844777425,5.153689066569011,7286.0,6.0,1.0,41.208333333333336,26.166666666666668,38.69,-75.38,1.562
2006-01-24,-75.362,38.69,15.1,5.549999872843425,1013.7395839691162,6.411932468414307,3.0495983759562173,3.9506553014119468,7286.0,6.0,1.0,142.91666666666666,20.208333333333332,38.69,-75.38,1.562
2006-01-25,-75.362,38.69,15.1,5.112499872843425,1007.2875003814697,5.369191805521647,1.7615152994791667,3.330299695332845,7286.0,6.0,1.0,65.79166666666667,57.916666666666664,38.69,-75.38,1.562
2006-01-26,-75.362,38.69,15.1,2.0833333333333335,1019.9458335240682,2.6729936599731445,-2.413832346598307,1.6362012227376301,7286.0,6.0,1.0,147.0,68.625,38.69,-75.38,1.562
2006-01-27,-75.362,38.69,15.1,1.3875001271565754,1034.0083332061768,1.9851477940877278,-3.37322203318278,1.1975205739339192,7286.0,6.0,1.0,151.91666666666666,27.333333333333332,38.69,-75.38,1.562
2006-01-28,-75.362,38.69,15.1,5.80833371480306,1028.7041664123535,3.7750867207845054,0.6377013524373373,2.291839917500814,7286.0,6.0,1.0,137.79166666666666,26.833333333333332,38.69,-75.38,1.562
2006-01-29,-75.362,38.69,15.1,8.258333841959635,1016.9124997456869,7.337331771850586,4.750400543212891,4.520488421122233,7286.0,6.0,1.0,41.0,42.791666666666664,38.69,-75.38,1.562
2006-01-30,-75.362,38.69,15.1,12.05416742960612,1007.9437497456869,11.232943852742514,9.98980967203776,6.974895000457764,7286.0,6.0,1.0,121.20833333333333,22.041666666666668,38.69,-75.38,1.562
