time,longitude,latitude,elevation,temperatures,slp,vapor_pressure,wet_bulb_temperature,specific_humidity,file_id,region,water,GHI,wind_speed,NSRDB_latitude,NSRDB_longitude,distance_h_NSRDB
2006-01-01,-80.212,41.626,427.5,1.1749986012776692,1014.4770827293396,5.480029424031575,-0.41517066955566406,3.5527877807617188,7528.0,5.0,1.0,36.583333333333336,4.958333333333333,41.61,-80.22,1.899
2006-01-02,-80.212,41.626,427.5,2.549999237060547,1014.1979163487753,6.054560661315918,0.9144794146219889,3.9400485356648765,7528.0,5.0,1.0,18.625,6.458333333333333,41.61,-80.22,1.899
2006-01-03,-80.212,41.626,427.5,3.8791685104370117,1009.5541671117147,7.191373507181804,2.796168327331543,4.700373649597168,7528.0,5.0,1.0,32.458333333333336,6.333333333333333,41.61,-80.22,1.899
2006-01-04,-80.212,41.626,427.5,4.441667556762695,1011.462499777476,7.704972585042317,3.5553601582845054,5.028896331787109,7528.0,5.0,1.0,17.833333333333332,5.583333333333333,41.61,-80.22,1.899
2006-01-05,-80.212,41.626,427.5,2.5333325068155923,1005.8687510490417,6.849693934122722,1.7415868441263835,4.494770208994548,7528.0,5.0,1.0,13.375,9.25,41.61,-80.22,1.899
2006-01-06,-80.212,41.626,427.5,-3.8249998092651367,1012.3570837338766,3.7637986183166503,-5.124001948038737,2.4547423362731933,7528.0,5.0,1.0,66.95833333333333,8.791666666666666,41.61,-80.22,1.899
2006-01-07,-80.212,41.626,427.5,-5.2499996821085615,1011.5158332824707,3.285600757598877,-6.558218669891358,2.1445721944173175,7528.0,5.0,1.0,35.833333333333336,8.75,41.61,-80.22,1.899
2006-01-08,-80.212,41.626,427.5,-0.3416655858357747,1011.5999999046326,5.082933266957601,-1.5613373120625813,3.315182685852051,7528.0,5.0,1.0,78.625,6.791666666666667,41.61,-80.22,1.899
2006-01-09,-80.212,41.626,427.5,3.9874998728434243,1012.1083335876465,5.754793167114258,1.3820514678955078,3.750300089518229,7528.0,5.0,1.0,18.083333333333332,10.0,41.61,-80.22,1.899
2006-01-10,-80.212,41.626,427.5,1.1625000635782878,1029.1729176839192,5.333065509796143,-0.5233503977457682,3.418358484903971,7528.0,5.0,1.0,77.16666666666667,4.25,41.61,-80.22,1.899
2006-01-11,-80.212,41.626,427.5,7.895833651224772,1016.5249996185303,7.923044522603353,5.292471885681152,5.144344329833984,7528.0,5.0,1.0,31.625,9.708333333333334,41.61,-80.22,1.899
2006-01-12,-80.212,41.626,427.5,4.870833396911621,1013.7583340009054,6.284637292226155,2.44482151667277,4.08803669611613,7528.0,5.0,1.0,108.0,9.083333333333334,41.61,-80.22,1.899
2006-01-13,-80.212,41.626,427.5,9.887499809265137,1007.6791671117147,5.3884232838948565,4.413016001383464,3.521991411844889,7528.0,5.0,1.0,34.0,8.791666666666666,41.61,-80.22,1.899
2006-01-14,-80.212,41.626,427.5,2.5708338419596353,1000.3479166030884,6.326627731323242,0.9299894968668619,4.180496374766032,7528.0,5.0,1.0,31.166666666666668,15.0,41.61,-80.22,1.899
2006-01-15,-80.212,41.626,427.5,-5.541666030883789,1015.8791662851969,2.4176111221313477,-7.829345067342122,1.5704348882039387,7528.0,5.0,1.0,113.83333333333333,15.125,41.61,-80.22,1.899
2006-01-16,-80.212,41.626,427.5,-3.991665840148926,1013.2499996821085,2.5548473993937173,-6.541315078735352,1.662986119588216,7528.0,5.0,1.0,70.54166666666667,6.166666666666667,41.61,-80.22,1.899
