WMO_ID,Latitude,Longitude,Elevation,File
014650-99999,58.4,8.783,15,01465099999.csv
014670-99999,58.633,9.15,5,01467099999.csv
014690-99999,60.167,10.25,140,01469099999.csv
014700-99999,59.383,9.2,93,01470099999.csv
014703-99999,59.566,9.212,19.2,01470399999.csv
014710-99999,60.05,9.15,275,01471099999.csv
014730-99999,59.617,9.633,173,01473099999.csv
014770-99999,59.717,10.15,193,01477099999.csv
014800-99999,59.75,10.133,8,01480099999.csv
014810-99999,59.233,10.35,26,01481099999.csv
014820-99999,59.033,10.517,7.7,01482099999.csv
014830-99999,59.183,10.267,88,01483099999.csv
014843-99999,59.317,10.45,15,01484399999.csv
014880-99999,60.117,10.833,170,01488099999.csv
014920-99999,59.95,10.717,97,01492099999.csv
014940-99999,59.379,10.786,53,01494099999.csv
014950-99999,59.15,10.833,10,01495099999.csv
020130-99999,67.733,17.467,542.7,02013099999.csv
020200-99999,68.417,18.167,517,02020099999.csv
020240-99999,67.5,18.3,425,02024099999.csv
020290-99999,67.917,18.6,1146,02029099999.csv
020310-99999,68.067,19.833,493,02031099999.csv
020360-99999,67.85,19.033,468,02036099999.csv
020380-99999,67.25,20.267,453,02038099999.csv
020440-99999,67.822,20.337,459.6,02044099999.csv
020490-99999,67.132,20.815,313,02049099999.csv
020540-99999,68.05,21.75,360,02054099999.csv
020550-99999,68.683,21.533,402,02055099999.csv
020640-99999,67.333,22.233,240,02064099999.csv
020720-99999,67.733,22.833,313,02072099999.csv
020800-99999,68.45,22.45,331,02080099999.csv
020860-99999,67.767,22.35,317,02086099999.csv
020950-99999,67.2,23.383,171,02095099999.csv
021010-99999,65.806,15.083,458.1,02101099999.csv
021020-99999,65.1,14.517,1036,02102099999.csv
021030-99999,65.783,15.067,793,02103099999.csv
021080-99999,65.067,14.8,593,02108099999.csv
021100-99999,65.333,15.067,577,02110099999.csv
021200-99999,66.883,18.017,315,02120099999.csv
021205-99999,64.95,17.7,279,02120599999.csv
021210-99999,66.683,16.117,615,02121099999.csv
021240-99999,66.05,17.833,432,02124099999.csv
021280-99999,65,17.7,283,02128099999.csv
021300-99999,66.483,16.417,481,02130099999.csv
021350-99999,65.567,17.867,393,02135099999.csv
021410-99999,66.317,19.217,582,02141099999.csv
021420-99999,66.496,20.147,275.5,02142099999.csv
021440-99999,65.983,18.933,374,02144099999.csv
021470-99999,65.15,18.6,363,02147099999.csv
021490-99999,65.6,19.267,384,02149099999.csv
021510-99999,66.483,20.167,275,02151099999.csv
021540-99999,65.875,20.15,182,02154099999.csv
021610-99999,66.75,20.933,327,02161099999.csv
021640-99999,66.383,21.633,263,02164099999.csv
021710-99999,65.817,21.633,18,02171099999.csv
021730-99999,65.667,21.067,43,02173099999.csv
021740-99999,66.283,21.133,186,02174099999.csv
021760-99999,65.033,21.567,4,02176099999.csv
021810-99999,66.267,22.85,62,02181099999.csv
021840-99999,66.817,22.333,229,02184099999.csv
021860-99999,65.544,22.122,19.8,02186099999.csv
021880-99999,65.317,22.383,2,02188099999.csv
021910-99999,65.7,23.1,4,02191099999.csv
021960-99999,65.833,24.15,6,02196099999.csv
021990-99999,66.617,23.467,132,02199099999.csv
022000-99999,63.983,12.867,425,02200099999.csv
022060-99999,63.283,12.133,583,02206099999.csv
022090-99999,63.05,12.283,1030,02209099999.csv
022160-99999,63.3,13.883,365,02216099999.csv
022210-99999,63.833,13.5,717,02221099999.csv
022220-99999,64.5,14.167,330,02222099999.csv
022260-99999,63.2,14.5,376,02226099999.csv
022300-99999,64.217,15.55,310,02230099999.csv
022310-99999,63.683,14.6,362,02231099999.csv
022340-99999,63.867,15.583,373,02234099999.csv
022360-99999,63.767,15.333,376,02236099999.csv
022420-99999,64.083,16.233,241,02242099999.csv
022430-99999,63.683,16.95,214,02243099999.csv
022450-99999,64.583,16.85,349,02245099999.csv
022470-99999,63.15,16.167,184,02247099999.csv
022540-99999,64.167,17.317,308,02254099999.csv
022590-99999,63.049,17.769,10.4,02259099999.csv
022600-99999,63.133,18.25,143,02260099999.csv
022610-99999,64.55,18.717,211,02261099999.csv
022620-99999,66.567,16.35,500,02262099999.csv
