,file_id,date,temperatures,slp,vapor_pressure,wet_bulb_temperature,specific_humidity,water,GHI,WDSP,PRCP,SNDP,latitude,longitude,elevation,region,Year,solar_activity,ONI
387,7571,2007-12-31,10.402461533640059,1017.7569632818754,10.520928177839968,7.179728233744899,6.674700444354571,1.0,164.29250325354155,7.783724398361495,0.11249558371735786,0.0,41.346,-82.179,241.0,5.0,2007.0,12.644943676395288,-0.6175
388,7571,2008-12-31,9.892154888199125,1016.9395077673285,9.994704335113996,6.6849751327621965,6.346058328654375,1.0,160.57912006138505,7.992371771103695,0.10942735755778021,0.0,41.346,-82.179,241.0,5.0,2008.0,4.151319367198122,-0.7841666666666667
389,7571,2009-12-31,10.621129506038686,1017.007891615721,10.052532277505492,7.089947411481526,6.382335438952069,1.0,158.12956242532854,7.094474526369687,0.0920330901177675,0.0,41.346,-82.179,241.0,5.0,2009.0,4.758160522273426,0.28583333333333333
390,7571,2010-12-31,11.53357793186993,1015.8004237184667,10.94464488841586,7.944156947648598,6.957654955074651,1.0,164.49086954898448,7.120658602150538,0.0934033538146441,0.0,41.346,-82.179,241.0,5.0,2010.0,24.8989247311828,-0.48666666666666664
391,7571,2011-12-31,11.137152159268334,1015.8901297726283,11.45547690828412,8.193829699643173,7.287111544058391,1.0,154.20753168202765,7.34442396313364,0.15208947772657447,0.0,41.346,-82.179,241.0,5.0,2011.0,80.76135432667691,-0.8641666666666667
392,7571,2012-12-31,11.876367355089007,1016.5913454589544,10.86399479029261,8.4517413822555,6.898568411164061,1.0,171.44270588719976,7.14074156470152,0.10726167964404891,0.0,41.346,-82.179,241.0,5.0,2012.0,84.39708935854654,-0.14
393,7571,2013-12-31,10.490183964232479,1017.7368624107893,10.73248615771788,7.3426446434207255,6.812821198856355,1.0,158.36015344982079,7.383070276497695,0.10971594982078849,0.0,41.346,-82.179,241.0,5.0,2013.0,93.69126984126984,-0.31916666666666665
394,7571,2014-12-31,9.828943993688188,1017.128467239818,10.176835099451432,6.503911769747229,6.462165911878142,1.0,163.80421413637137,8.040904377880183,0.11087775217613925,0.0,41.346,-82.179,241.0,5.0,2014.0,113.59726062467998,0.11416666666666668
395,7571,2015-12-31,9.929402904882677,1018.3883521931143,10.72871107340949,7.028204680400608,6.807842731724587,1.0,162.41486895161287,7.674956477214542,0.09188748079877108,0.0,41.346,-82.179,241.0,5.0,2015.0,69.80020481310804,1.4574999999999998
396,7571,2016-12-31,11.162776596123782,1017.4300337723189,10.771688553958095,7.78909091522102,6.835230973633066,1.0,168.83828894244633,7.855947657891485,0.08445040786058582,0.0,41.346,-82.179,241.0,5.0,2016.0,39.81780991224817,0.33083333333333337
397,7571,2017-12-31,10.8304664696091,1016.6639626664877,9.875328412187079,7.191234171506374,6.269579672342796,1.0,162.81728803976787,7.827792498719918,0.1193502304147465,0.0,41.346,-82.179,241.0,5.0,2017.0,21.81510496671787,-0.2025
